,Zone0_EFT[C],Zone1_EFT[C],Zone2_EFT[C],Zone3_EFT[C],Zone4_EFT[C],Zone5_EFT[C],GHX0_EFT[C],GHX0_MFT[C],GHX0_q_ghe[W/m],GHX0_ExFT[C],GHX1_EFT[C],GHX1_MFT[C],GHX1_q_ghe[W/m],GHX1_ExFT[C],GHX2_EFT[C],GHX2_MFT[C],GHX2_q_ghe[W/m],GHX2_ExFT[C]
1865,6.021315,7.048932,6.576347,6.148836,6.141412,5.992103,5.733283,5.966532,-0.579215,6.199781,5.966532,6.029776,-0.157051,6.093021,6.000262,6.045375,-0.112025,6.090487
1866,6.001276,6.792711,6.473231,5.955901,5.947763,5.779640,5.439102,5.897650,-1.015829,6.356198,5.897650,6.021880,-0.275209,6.146110,5.963906,6.043984,-0.177397,6.124062
1867,5.933513,6.363648,6.097829,5.359875,5.352969,5.170249,4.899911,5.728307,-2.197372,6.556704,5.728307,5.975823,-0.656550,6.223338,5.860316,6.017166,-0.416056,6.174017
1868,5.836312,5.765275,5.520177,4.715663,4.709422,4.502964,4.275055,5.505583,-3.530878,6.736110,5.505583,5.903256,-1.141085,6.300930,5.717675,5.971897,-0.729463,6.226118
1869,5.771391,5.712273,5.491626,4.597480,4.589588,4.371241,4.203920,5.392380,-3.787699,6.580841,5.392380,5.842582,-1.434821,6.292783,5.632488,5.930136,-0.948626,6.227785
1870,5.711159,5.502791,5.289788,4.417660,4.412222,4.153487,4.012616,5.282793,-4.183445,6.552971,5.282793,5.788643,-1.666062,6.294493,5.552580,5.892393,-1.119206,6.232207
1871,5.643668,5.369556,5.174404,4.250974,4.245893,3.964654,3.892855,5.173532,-4.602073,6.454209,5.173532,5.724236,-1.978939,6.274940,5.467241,5.845298,-1.358539,6.223356
1872,5.619298,5.306138,5.104707,4.220718,4.214954,3.885864,3.863394,5.139273,-4.443185,6.415151,5.139273,5.699690,-1.951628,6.260108,5.438162,5.826310,-1.351705,6.214457
1873,5.564236,5.223860,5.037828,4.112361,4.106894,3.776945,3.765257,5.054490,-4.852012,6.343724,5.054490,5.646431,-2.227762,6.238372,5.370192,5.786000,-1.564888,6.201808
1874,5.532089,5.143707,4.958032,4.071480,4.066162,3.715030,3.710159,5.007721,-4.888530,6.305282,5.007721,5.614837,-2.287296,6.221954,5.331516,5.761316,-1.619259,6.191116
1875,5.482166,5.079028,4.903398,3.980751,3.975587,3.635161,3.630559,4.934601,-5.197511,6.238642,4.934601,5.565847,-2.515954,6.197093,5.271265,5.723195,-1.801253,6.175124
1876,5.508442,5.308871,5.118909,4.187710,4.182200,3.810562,3.798636,4.995611,-4.415249,6.192585,4.995611,5.585484,-2.175853,6.175358,5.310210,5.734993,-1.566887,6.159777
1877,5.499968,5.445497,5.263427,4.276616,4.269552,3.917475,3.854946,4.996138,-4.391646,6.137330,4.996138,5.573714,-2.222686,6.151291,5.304179,5.723727,-1.614547,6.143276
1878,5.713726,6.734319,6.545997,5.929371,5.922565,5.574074,5.355120,5.487107,-0.495592,5.619094,5.487107,5.731673,-0.918309,5.976238,5.617542,5.823650,-0.773907,6.029759
1879,5.918121,7.675002,7.370131,6.920103,6.906581,6.585828,6.363954,5.913848,1.783645,5.463741,5.913848,5.897534,0.064647,5.881220,5.905147,5.932948,-0.110167,5.960749
1880,6.106254,8.297467,7.888137,7.831892,7.806283,7.467757,7.232887,6.286717,3.419426,5.340547,6.286717,6.055073,0.837153,5.823429,6.163173,6.041203,0.440795,5.919234
1881,6.246359,8.726467,8.248465,8.276055,8.247634,7.936679,7.725212,6.545840,4.160136,5.366468,6.545840,6.178356,1.296270,5.810871,6.349848,6.128084,0.782254,5.906320
1882,6.355530,8.965382,8.412234,8.467011,8.438403,8.171287,7.983527,6.730310,4.516951,5.477093,6.730310,6.279829,1.623662,5.829348,6.490053,6.201788,1.038990,5.913523
1883,6.456887,9.142515,8.574019,8.684100,8.650998,8.405907,8.257945,6.901415,5.004696,5.544885,6.901415,6.373559,1.947441,5.845702,6.619892,6.270597,1.288667,5.921302
1884,6.572500,9.409578,8.919265,9.083757,9.044247,8.826353,8.697926,7.111848,5.887580,5.525769,7.111848,6.475389,2.362560,5.838929,6.772403,6.344040,1.590097,5.915678
1885,6.670335,9.539413,9.001562,9.188203,9.152413,8.967150,8.858585,7.262644,6.236217,5.666704,7.262644,6.570041,2.706381,5.877438,6.893256,6.415568,1.866591,5.937879
1886,6.769637,9.805944,9.295499,9.450763,9.427232,9.268681,9.173874,7.431655,6.835565,5.689435,7.431655,6.660619,3.025144,5.889583,7.020436,6.483011,2.108577,5.945586
1887,6.867915,9.999714,9.524438,9.682715,9.660472,9.532640,9.426329,7.591660,7.343567,5.756991,7.591660,6.752467,3.359010,5.913274,7.144091,6.552286,2.368798,5.960481
1888,6.966528,10.171442,9.767682,9.975201,9.946428,9.850666,9.726970,7.757673,7.913692,5.788375,7.757673,6.842792,3.676481,5.927912,7.269737,6.620004,2.610973,5.970272
1889,7.129934,10.531067,10.278607,10.523428,10.506019,10.442468,10.285799,8.044310,9.420993,5.802822,8.044310,6.989337,4.434061,5.934364,7.481658,6.727963,3.167785,5.974268
1890,6.835736,10.064944,9.704038,9.708310,9.683337,9.579646,9.260563,7.509271,4.228563,5.757978,7.509271,6.729048,1.883878,5.948825,7.093152,6.541548,1.331869,5.989943
1891,6.769623,9.942537,9.581437,9.574018,9.555150,9.418964,9.114410,7.399289,4.135829,5.684168,7.399289,6.667180,1.765400,5.935072,7.008831,6.496243,1.236051,5.983654
