,Zone0_P_htg,Zone0_P_clg,Zone0_P_cp,central_loop_P_cp,GHX0_P_cp
8243,266.0,0.0,14.122484185802858,3.6987565968649974e-06,0.10049880091051873
8244,266.0,0.0,14.122491084026333,3.6987620169161114e-06,0.10049889908918867
8245,266.0,0.0,14.122497981420198,3.698767436320682e-06,0.10049899725609919
8246,266.0,0.0,14.122504877984648,3.698772855078857e-06,0.10049909541125303
8247,266.0,0.0,14.122511773719888,3.698778273190798e-06,0.10049919355465306
8248,266.0,0.0,14.12251866862611,3.6987836906566546e-06,0.10049929168630205
8249,266.0,0.0,14.122525562703524,3.6987891074765878e-06,0.10049938980620295
8250,266.0,0.0,14.122532455952323,3.6987945236507523e-06,0.10049948791435849
8251,266.0,0.0,14.122539348372705,3.698799939179294e-06,0.10049958601077143
8252,266.0,0.0,14.12254623996488,3.6988053540623812e-06,0.10049968409544481
8253,266.0,0.0,14.12255313072904,3.6988107683001632e-06,0.10049978216838132
8254,266.0,0.0,14.12256002066538,3.6988161818927903e-06,0.1004998802295837
8255,266.0,0.0,14.122566909774116,3.6988215948404268e-06,0.10049997827905498
8256,266.0,0.0,14.122573798055438,3.6988270071432243e-06,0.1005000763167979
8257,266.0,0.0,14.122580685509542,3.698832418801335e-06,0.10050017434281523
8258,266.0,0.0,14.122587572136633,3.6988378298149147e-06,0.10050027235710984
8259,266.0,0.0,14.122594457936907,3.6988432401841176e-06,0.10050037035968451
8260,266.0,0.0,14.122601342910567,3.6988486499091025e-06,0.10050046835054215
8261,266.0,0.0,14.122608227057809,3.698854058990021e-06,0.10050056632968549
8262,266.0,0.0,14.122615110378833,3.6988594674270277e-06,0.10050066429711739
8263,266.0,0.0,14.122621992873839,3.6988648752202773e-06,0.10050076225284062
8264,266.0,0.0,14.122628874543029,3.698870282369925e-06,0.10050086019685804
8265,266.0,0.0,14.122635755386597,3.6988756888761253e-06,0.10050095812917251
8266,266.0,0.0,14.122642635404745,3.698881094739034e-06,0.10050105604978682
8267,266.0,0.0,14.122649514597667,3.6988864999588e-06,0.10050115395870365
8268,266.0,0.0,14.122656392965569,3.698891904535583e-06,0.10050125185592602
8269,266.0,0.0,14.122663270508644,3.698897308469537e-06,0.10050134974145661
8270,266.0,0.0,14.122670147227094,3.698902711760813e-06,0.10050144761529825
8271,266.0,0.0,14.122677023121117,3.6989081144095687e-06,0.10050154547745378
8272,266.0,0.0,14.122683898190907,3.698913516415953e-06,0.10050164332792592
8273,266.0,0.0,14.122690772436677,3.69891891778013e-06,0.10050174116671769
8274,266.0,0.0,14.122697645858606,3.698924318502243e-06,0.10050183899383167
8275,266.0,0.0,14.122704518456901,3.698929718582449e-06,0.10050193680927073
8276,266.0,0.0,14.122711390231762,3.6989351180209043e-06,0.1005020346130377
8277,266.0,0.0,14.122718261183387,3.69894051681776e-06,0.10050213240513536
8278,266.0,0.0,14.122725131311972,3.6989459149731733e-06,0.10050223018556657
8279,266.0,0.0,14.122732000617715,3.6989513124872943e-06,0.10050232795433404
8280,266.0,0.0,14.122738869100813,3.6989567093602787e-06,0.10050242571144065
8281,266.0,0.0,14.122745736761471,3.6989621055922807e-06,0.10050252345688922
8282,266.0,0.0,14.122752603599876,3.6989675011834523e-06,0.10050262119068247
8283,266.0,0.0,14.122759469616234,3.6989728961339456e-06,0.10050271891282317
8284,266.0,0.0,14.122766334810736,3.6989782904439155e-06,0.1005028166233142
8285,266.0,0.0,14.122773199183584,3.698983684113517e-06,0.10050291432215831
8286,266.0,0.0,14.12278006273498,3.6989890771429014e-06,0.10050301200935832
8287,266.0,0.0,14.122786925465109,3.6989944695322224e-06,0.100503109684917
8288,266.0,0.0,14.12279378737418,3.6989998612816345e-06,0.10050320734883716
8289,266.0,0.0,14.122800648462388,3.6990052523912916e-06,0.10050330500112167
8290,266.0,0.0,14.122807508729922,3.6990106428613422e-06,0.10050340264177314
8291,266.0,0.0,14.12281436817699,3.6990160326919414e-06,0.10050350027079447
8292,266.0,0.0,14.12282122680378,3.699021421883245e-06,0.10050359788818844
8293,266.0,0.0,14.122828084610495,3.699026810435401e-06,0.10050369549395778
8294,266.0,0.0,14.12283494159733,3.6990321983485674e-06,0.10050379308810539
8295,266.0,0.0,14.122841797764481,3.6990375856228923e-06,0.10050389067063392
8296,266.0,0.0,14.12284865311215,3.6990429722585345e-06,0.10050398824154633
8297,266.0,0.0,14.122855507640525,3.6990483582556387e-06,0.10050408580084517
8298,266.0,0.0,14.122862361349808,3.6990537436143647e-06,0.10050418334853342
8299,266.0,0.0,14.122869214240199,3.699059128334861e-06,0.10050428088461381
8300,266.0,0.0,14.122876066311887,3.699064512417285e-06,0.1005043784090891
8301,266.0,0.0,14.122882917565075,3.699069895861784e-06,0.10050447592196207
8302,266.0,0.0,14.122889767999949,3.699075278668508e-06,0.10050457342323542
8303,266.0,0.0,14.122896617616718,3.6990806608376152e-06,0.10050467091291201
8304,266.0,0.0,14.12290346641557,3.6990860423692575e-06,0.10050476839099469
8305,266.0,0.0,14.122910314396709,3.6990914232635892e-06,0.10050486585748615
8306,266.0,0.0,14.122917161560318,3.6990968035207527e-06,0.1005049633123891
8307,266.0,0.0,14.12292400790661,3.699102183140912e-06,0.10050506075570646
8308,266.0,0.0,14.122930853435765,3.6991075621242106e-06,0.10050515818744091
8309,266.0,0.0,14.12293769814799,3.6991129404708053e-06,0.10050525560759518
8310,266.0,0.0,14.122944542043477,3.6991183181808462e-06,0.10050535301617217
8311,266.0,0.0,14.122951385122416,3.6991236952544813e-06,0.10050545041317445
8312,266.0,0.0,14.122958227385013,3.699129071691872e-06,0.10050554779860502
8313,266.0,0.0,14.122965068831453,3.6991344474931625e-06,0.1005056451724665
8314,266.0,0.0,14.122971909461945,3.69913982265851e-06,0.10050574253476172
8315,266.0,0.0,14.122978749276673,3.699145197188061e-06,0.10050583988549337
8316,266.0,0.0,14.122985588275833,3.699150571081969e-06,0.10050593722466433
8317,266.0,0.0,14.122992426459627,3.699155944340387e-06,0.10050603455227727
8318,266.0,0.0,14.122999263828245,3.699161316963464e-06,0.10050613186833499
8319,266.0,0.0,14.123006100381886,3.699166688951357e-06,0.10050622917284024
8320,266.0,0.0,14.123012936120741,3.699172060304208e-06,0.10050632646579574
8321,266.0,0.0,14.123019771045008,3.6991774310221784e-06,0.10050642374720437
8322,266.0,0.0,14.12302660515488,3.699182801105412e-06,0.10050652101706868
8323,266.0,0.0,14.123033438450554,3.6991881705540664e-06,0.10050661827539169
8324,266.0,0.0,14.12304027093222,3.699193539368285e-06,0.10050671552217592
8325,266.0,0.0,14.123047102600083,3.6991989075482294e-06,0.10050681275742432
8326,266.0,0.0,14.123053933454326,3.6992042750940406e-06,0.10050690998113947
8327,266.0,0.0,14.123060763495149,3.6992096420058756e-06,0.10050700719332427
8328,266.0,0.0,14.123067592722743,3.6992150082838826e-06,0.10050710439398133
8329,266.0,0.0,14.123074421137307,3.6992203739282136e-06,0.10050720158311346
8330,266.0,0.0,14.12308124873904,3.699225738939023e-06,0.10050729876072358
8331,266.0,0.0,14.123088075528125,3.699231103316453e-06,0.10050739592681411
8332,266.0,0.0,14.123094901504766,3.699236467060664e-06,0.10050749308138811
8333,266.0,0.0,14.12310172666915,3.6992418301718007e-06,0.10050759022444813
8334,266.0,0.0,14.123108551021472,3.6992471926500145e-06,0.10050768735599694
8335,266.0,0.0,14.123115374561936,3.6992525544954625e-06,0.10050778447603745
8336,266.0,0.0,14.123122197290717,3.699257915708282e-06,0.10050788158457212
8337,266.0,0.0,14.123129019208028,3.699263276288639e-06,0.10050797868160398
8338,266.0,0.0,14.123135840314053,3.6992686362366716e-06,0.10050807576713557
8339,266.0,0.0,14.123142660608986,3.699273995552537e-06,0.10050817284116975
8340,266.0,0.0,14.123149480093021,3.6992793542363817e-06,0.10050826990370917
8341,266.0,0.0,14.123156298766357,3.6992847122883575e-06,0.10050836695475661
8342,266.0,0.0,14.12316311662918,3.6992900697086178e-06,0.10050846399431483
8343,266.0,0.0,14.123169933681691,3.699295426497309e-06,0.10050856102238657
8344,266.0,0.0,14.123176749924072,3.699300782654581e-06,0.10050865803897453
8345,266.0,0.0,14.12318356535653,3.6993061381805865e-06,0.10050875504408148
8346,266.0,0.0,14.12319037997925,3.6993114930754723e-06,0.10050885203771008
8347,266.0,0.0,14.123197193792429,3.6993168473393944e-06,0.1005089490198632
8348,266.0,0.0,14.123204006796257,3.6993222009724963e-06,0.10050904599054347
8349,266.0,0.0,14.12321081899093,3.6993275539749313e-06,0.10050914294975363
8350,266.0,0.0,14.123217630376638,3.6993329063468473e-06,0.10050923989749638
8351,266.0,0.0,14.123224440953575,3.6993382580883934e-06,0.10050933683377451
8352,266.0,0.0,14.123231250721934,3.6993436091997244e-06,0.10050943375859082
8353,266.0,0.0,14.12323805968191,3.6993489596809824e-06,0.10050953067194784
8354,266.0,0.0,14.123244867833693,3.699354309532324e-06,0.10050962757384847
8355,266.0,0.0,14.12325167517748,3.699359658753897e-06,0.1005097244642954
8356,266.0,0.0,14.123258481713457,3.6993650073458473e-06,0.10050982134329128
8357,266.0,0.0,14.123265287441818,3.6993703553083266e-06,0.10050991821083884
8358,266.0,0.0,14.123272092362761,3.6993757026414875e-06,0.1005100150669409
8359,266.0,0.0,14.123278896476474,3.6993810493454754e-06,0.10051011191160013
8360,266.0,0.0,14.123285699783148,3.6993863954204388e-06,0.10051020874481927
8361,266.0,0.0,14.123292502282975,3.6993917408665285e-06,0.10051030556660095
8362,266.0,0.0,14.123299303976156,3.6993970856838986e-06,0.10051040237694803
8363,266.0,0.0,14.123306104862872,3.6994024298726895e-06,0.10051049917586306
8364,266.0,0.0,14.123312904943315,3.699407773433053e-06,0.10051059596334888
8365,266.0,0.0,14.123319704217687,3.6994131163651426e-06,0.10051069273940821
8366,266.0,0.0,14.123326502686178,3.699418458669105e-06,0.10051078950404377
8367,266.0,0.0,14.123333300348971,3.6994238003450847e-06,0.10051088625725811
8368,266.0,0.0,14.123340097206263,3.699429141393238e-06,0.10051098299905417
8369,266.0,0.0,14.123346893258244,3.699434481813705e-06,0.10051107972943452
