,Zone0_P_htg,Zone0_P_clg,Zone0_P_cp,Zone1_P_htg,Zone1_P_clg,Zone1_P_cp,Zone2_P_htg,Zone2_P_clg,Zone2_P_cp,Zone3_P_htg,Zone3_P_clg,Zone3_P_cp,Zone4_P_htg,Zone4_P_clg,Zone4_P_cp,Zone5_P_htg,Zone5_P_clg,Zone5_P_cp,central_loop_P_cp,GHX0_P_cp,GHX1_P_cp,GHX2_P_cp,ISHX0_P_cp
6736,1295.718222765835,8710.207818982215,819.3880672968244,6708.129091163439,-0.0,289.6015531304336,6498.203838062986,0.0,310.02417636652297,97.77777297175497,-0.0,4.248956326428681,1963.9439573779848,0.0,59.49755123713013,2369.999427021226,-0.0,103.03757372539457,64.84184667089212,29.27446662082767,15.613048864441426,13.661417756386248,74.93561566783247
6737,3119.5793816030155,6623.950730443948,772.401581051529,5604.691945512448,-0.0,241.9829964727067,5421.8151984729775,0.0,258.6994389713425,101.44057001554805,-0.0,4.409770964946383,1489.9726733462296,1.937224279002195,45.22972143136794,3130.5877201123403,-0.0,136.1465535974994,48.3424853671965,24.06973953557384,12.837194418972716,11.232545116601127,57.6655156335253
6738,3070.170193403212,5336.057918215604,662.7666404546575,3440.547782126147,-0.0,148.893466312715,6669.062488916081,0.0,318.4601665201033,98.95291792164622,-0.0,4.30605151818552,1236.5880396151936,28.302380895630503,38.59692149323999,3695.5258844257346,-0.0,160.8723352010117,36.25108253929689,19.867019946438678,10.595743971433961,9.271275975004716,29.941495450241096
6739,3337.6274398124297,5026.589945989957,655.6420614588054,3445.531695684772,-0.0,149.1508663164238,5909.372500581826,0.0,282.2243488369628,101.68848125798041,-0.0,4.427948030023523,1165.6225807266565,31.865204036770006,36.603984985573526,3537.1997436820043,-0.0,154.07380996565144,32.09715291471304,18.318774442226385,9.770013035854072,8.548761406372316,29.174532752857747
6740,4326.602467772954,3161.140887615837,568.4523942063707,3456.5917538057547,-0.0,149.72060628641015,6596.730076056615,0.0,315.10632560185724,99.80056858568652,-0.0,4.346310735218631,1084.039254563224,34.42854278318666,34.229985776298726,3242.5184289940235,-0.0,141.25561573242496,27.315202944959605,16.450850744387186,8.773787063673165,7.677063680714019,20.61519934227301
6741,3847.726108474929,3211.541364838654,540.6844337201599,3525.2853446323516,-0.0,153.22992721664005,5779.495544874918,0.0,276.35642838818967,136.91924125314395,-0.0,5.974344037860314,1105.5863315526492,31.664913219301223,34.843363406410816,2673.4325186059828,-0.0,116.69062925566995,22.2668707536522,14.355716281880818,7.6563820170031045,6.699334264877712,18.539955865271153
6742,4076.9619123417688,2616.6401914980565,506.41257324767327,3514.571977767839,-0.0,152.6767295853896,6147.239186991798,0.0,293.9111373555675,101.16239077172172,-0.0,4.412791522486673,1208.4059073696942,16.546725981180316,37.38004040409998,2328.094371311426,-0.0,101.58989337275791,20.89605260418513,13.760310790810934,7.338832421765832,6.4214783690451,15.844349252564951
6743,4294.574213453511,2354.6829019359566,500.01114529688584,3541.1506676171975,-0.0,154.04271343286052,5090.698906929117,0.0,243.48833027670943,102.32810203119253,-0.0,4.467138866818527,1319.6368052142125,0.7319152398451424,40.183907029852534,1307.188445143371,-0.0,57.088871263256934,16.589642163443088,11.798046042601301,6.292291222720696,5.505754819880608,15.469308416072703
6744,4597.885738133346,2143.3519665264494,503.60958597213573,3556.364015203141,-0.0,154.82261869793447,5869.796444398675,0.0,280.81056618978585,101.50754517594254,-0.0,4.43186938484775,1574.1604522710213,0.0,47.906301247117995,406.3986676420993,-0.0,17.75238697330444,18.180442597678038,12.540697984293992,6.688372258290129,5.852325726003863,15.78352842810747
6745,4907.320020258266,1953.5011057383147,509.4630044868116,3575.9022142697195,-0.0,155.7991131312106,5949.441137951821,0.0,284.6762386575284,100.43516352966952,-0.0,4.387416919341502,1776.4727076460913,0.0,54.089486237445556,235.46400190888772,-0.0,10.291996536890284,19.05042431734685,12.937643402898399,6.900076481545812,6.037566921352585,16.28357639874278
