,Zone0_P_htg,Zone0_P_clg,Zone0_P_cp,Zone1_P_htg,Zone1_P_clg,Zone1_P_cp,Zone2_P_htg,Zone2_P_clg,Zone2_P_cp,Zone3_P_htg,Zone3_P_clg,Zone3_P_cp,Zone4_P_htg,Zone4_P_clg,Zone4_P_cp,Zone5_P_htg,Zone5_P_clg,Zone5_P_cp,central_loop_P_cp,GHX0_P_cp,GHX1_P_cp,GHX2_P_cp
3490,0.0,40508.640267566705,3362.822880930284,10756.986773222412,-0.0,466.79727451328006,0.0,6882.980230432515,408.40887871173476,555.9595780792938,-0.0,24.12575391772322,0.0,787.3338299201482,29.90067128593576,3617.226655020603,-0.0,156.96882216715676,795.4660427563605,115.29838524332175,61.492472129771585,53.80591311355014
3491,0.0,44042.44127548335,3641.2517870556967,11258.357210546612,-0.0,488.1831352566441,0.0,10171.86740327109,602.4239969641319,652.5196292299463,-0.0,28.29445472875629,0.0,1267.0192428546536,48.02241178431066,2902.721755099,-0.0,125.86736951767918,1153.814504812239,147.74046373817322,78.79491399369238,68.94554974448084
3492,0.0,46745.38510889014,3842.240703750342,9695.567139733532,-0.0,419.9880466421879,0.0,11516.360395051359,680.1687438718754,776.5016478651312,-0.0,33.636135524742436,0.0,1856.4505925771418,70.1595751143026,2514.8382288704624,-0.0,108.93658721994402,1362.486060564714,165.05556579998031,88.02963509332284,77.02593070665749
3493,0.0,48798.43547874149,3991.450065693357,11136.340286508217,-0.0,482.0101319981373,0.0,13312.224665965085,784.363284302235,736.5269720885902,-0.0,31.8788267871728,0.0,2290.923130956392,86.3647095345845,2226.0035657591798,-0.0,96.34729587598932,1670.7744752852977,189.09818089730962,100.85236314523172,88.24581775207781
3494,0.0,51965.6688032133,4226.050698020808,10534.682524093012,-0.0,455.5588827496203,0.0,15306.930644417298,899.2875506854384,483.97751805660556,-0.0,20.928989259767345,0.0,3037.3026560988164,114.1594757014956,1938.4665211440931,-0.0,83.82650740544987,2060.9042554249518,217.49403799215207,115.9968202624811,101.49721772967098
3495,0.0,54846.522074620814,4432.931144266975,9939.214288180787,-0.0,429.4207741980224,0.0,17294.527844123986,1012.8392637252418,465.44441209047704,-0.0,20.10938631474252,0.0,3764.256482338701,141.02005991731704,2200.435915438437,-0.0,95.06917418053364,2506.7987105959687,247.83080427023714,132.17642894412646,115.65437532611065
3496,0.0,55243.86343801777,4434.97449788504,8415.906069602237,-0.0,363.2691881849462,0.0,17617.727216631723,1028.0826705305476,597.0939188203782,-0.0,25.773317972677734,0.0,4025.4271457595264,150.25111564638345,2548.794736337052,-0.0,110.01769590365522,2513.268531021819,248.25704357779762,132.40375657482545,115.85328700297221
3497,0.0,56608.585454162545,4527.5557542220695,5475.849502722555,-0.0,236.2472183663652,0.0,15810.992968625103,920.7863047264665,377.8103990064138,-0.0,16.300056418784695,0.0,3927.921092283206,146.30824155666488,3352.242251479109,-0.0,144.62740563055735,2324.8730157864575,235.6902915191973,125.70148881023854,109.98880270895874
3498,0.0,39670.78301696167,3167.6718976516677,4506.414551916297,-0.0,194.38177842974014,0.0,8620.06478274863,501.55845608401086,311.1143940035425,-0.0,13.419752777911485,0.0,3524.092315548474,131.1462187179735,3932.9608692005686,-0.0,169.64616092070156,767.1117946841352,112.54198438600166,60.02239167253421,52.51959271346744
3499,0.0,37029.77490257969,2998.212265292802,4559.4506059927535,-0.0,197.03970113956385,0.0,6215.9318919708385,364.36633699749405,240.75038010244205,-0.0,10.404188364771809,0.0,3127.3983859248715,117.2727421793377,3801.403822204507,-0.0,164.28020342044744,576.19466891535,92.99400504482445,49.596802690573035,43.39720235425141
3500,0.0,26768.07462541695,2181.858412171078,4594.297920212329,-0.0,198.74391823494318,0.0,3874.36077676166,227.8827484635651,266.74949313958643,-0.0,11.539268975246687,0.0,2836.4688323870196,106.73830899649414,3504.423753740709,-0.0,151.59724512202456,239.73049001169315,51.82718774897895,27.641166799455437,24.186020949523506
3501,0.0,24774.881074444344,2038.3317552663664,3921.7736897474965,-0.0,169.90939571963523,0.0,2822.376263131184,166.7695825916155,156.22283394098255,-0.0,6.76829654447253,0.0,2509.161173755291,94.87276814992816,2888.169642483915,-0.0,125.1288823659359,173.09623518789718,41.7125950991734,22.246717386225814,19.465877712947588
