,Zone0_EFT[C],Zone0_ExFT[C],Zone0_CNT[C],Zone1_EFT[C],Zone1_ExFT[C],Zone1_CNT[C],Zone2_EFT[C],Zone2_ExFT[C],Zone2_CNT[C],Zone3_EFT[C],Zone3_ExFT[C],Zone3_CNT[C],Zone4_EFT[C],Zone4_ExFT[C],Zone4_CNT[C],Zone5_EFT[C],Zone5_ExFT[C],Zone5_CNT[C],GHX0_EFT[C],GHX0_MFT[C],GHX0_q_ghe[W/m],GHX0_ExFT[C],GHX0_CNT[C],GHX1_EFT[C],GHX1_MFT[C],GHX1_q_ghe[W/m],GHX1_ExFT[C],GHX1_CNT[C],GHX2_EFT[C],GHX2_MFT[C],GHX2_q_ghe[W/m],GHX2_ExFT[C],GHX2_CNT[C]
44,5.991875,10.491585,10.491585,5.991875,1.519099,9.235857,5.991875,2.920781,7.720211,5.991875,1.519099,7.685648,5.991875,2.902867,6.604177,5.991875,1.519099,6.276565,6.276565,6.134220,0.562424,5.991875,5.991875,6.276565,6.134221,0.562419,5.991878,5.991876,6.276565,6.134219,0.562430,5.991872,5.991875
45,6.364931,8.191696,8.191696,6.364931,1.890050,7.096266,6.364931,3.293080,5.819536,6.364931,1.890050,5.793419,6.364931,3.275621,5.148840,6.364931,1.890050,4.947704,4.947704,5.656317,-2.681430,6.364931,6.364931,4.947704,5.656316,-2.681426,6.364929,6.364931,4.947704,5.656319,-2.681435,6.364934,6.364931
46,6.256464,7.536939,7.536939,6.256464,1.752148,6.661585,6.256464,3.162633,5.398276,6.256464,1.752148,5.384579,6.256464,3.144904,4.787350,6.256464,1.752148,4.636063,4.636063,5.446264,-3.076597,6.256464,6.256464,4.636063,5.446262,-3.076591,6.256461,6.256463,4.636063,5.446266,-3.076605,6.256468,6.256464
47,6.185025,5.892257,5.892257,6.185025,1.692050,5.279086,6.185025,3.099430,4.109913,6.185025,1.692050,4.105029,6.185025,3.081662,3.880179,6.185025,1.692050,3.806274,3.806274,4.995650,-5.820098,6.185025,6.185025,3.806274,4.995647,-5.820082,6.185019,6.185023,3.806274,4.995654,-5.820117,6.185033,6.185025
48,5.961358,5.028993,5.028993,5.961358,1.480636,4.523223,5.961358,2.884329,3.563655,5.961358,1.480636,3.559997,5.961358,2.866341,3.415165,5.961358,1.480636,3.382346,3.382346,4.671852,-7.009529,5.961358,5.961358,3.382346,4.671848,-7.009507,5.961349,5.961355,3.382346,4.671856,-7.009554,5.961367,5.961358
49,5.810322,4.465602,4.465602,5.810322,1.353128,4.031862,5.810322,2.750330,3.291575,5.810322,1.353128,3.288223,5.810322,2.732262,3.167504,5.810322,1.353128,3.158155,3.158155,4.484238,-7.270523,5.810322,5.810322,3.158155,4.484234,-7.270499,5.810313,5.810319,3.158155,4.484243,-7.270550,5.810331,5.810322
50,5.649104,3.990836,3.990836,5.649104,1.209423,3.611322,5.649104,2.601665,3.008980,5.649104,1.209423,3.006031,5.649104,2.583479,2.917305,5.649104,1.209423,2.912602,2.912602,4.280853,-7.958604,5.649104,5.649104,2.912602,4.280848,-7.958577,5.649095,5.649101,2.912602,4.280858,-7.958635,5.649115,5.649104
51,5.549399,3.694125,3.694125,5.549399,1.126462,3.354316,5.549399,2.514054,2.868971,5.549399,1.126462,2.866117,5.549399,2.495825,2.786443,5.549399,1.126462,2.784489,2.784489,4.166944,-7.982831,5.549399,5.549399,2.784489,4.166939,-7.982804,5.549390,5.549396,2.784489,4.166950,-7.982862,5.549410,5.549399
52,5.413127,3.385448,3.385448,5.413127,1.002583,3.081109,5.413127,2.386597,2.670761,5.413127,1.002583,2.668162,5.413127,2.368257,2.606435,5.413127,1.002583,2.604648,2.604648,4.008888,-8.580389,5.413127,5.413127,2.604648,4.008883,-8.580359,5.413117,5.413124,2.604648,4.008893,-8.580423,5.413138,5.413127
53,5.309973,4.257417,4.257417,5.309973,0.914117,3.831645,5.309973,2.293992,2.944887,5.309973,0.914117,2.941680,5.309973,2.275598,2.801064,5.309973,0.914117,2.795977,2.795977,4.052975,-7.526212,5.309973,5.309973,2.795977,4.052971,-7.526185,5.309965,5.309970,2.795977,4.052980,-7.526241,5.309983,5.309973
