,Zone0_EFT[C],Zone1_EFT[C],Zone2_EFT[C],Zone3_EFT[C],Zone4_EFT[C],Zone5_EFT[C],GHX0_EFT[C],GHX0_MFT[C],GHX0_q_ghe[W/m],GHX0_ExFT[C],GHX1_EFT[C],GHX1_MFT[C],GHX1_q_ghe[W/m],GHX1_ExFT[C],GHX2_EFT[C],GHX2_MFT[C],GHX2_q_ghe[W/m],GHX2_ExFT[C],ISHX0_N_EFT[C],ISHX0_N_ExFT[C],ISHX0_HP_EFT[C]
2148,9.075111,12.915797,10.254103,10.548926,10.529912,10.520448,10.458564,9.089377,11.579067,7.720190,9.089377,8.142209,8.010099,7.195041,8.584221,7.794208,6.681055,7.004195,8.215548,11.653798,12.513360
2149,9.254050,13.052103,10.385328,10.739798,10.722945,10.725977,10.674815,9.316081,12.372300,7.957347,9.316081,8.343015,8.860506,7.369948,8.797112,7.975310,7.483126,7.153509,8.413605,11.775386,12.615832
2150,9.500613,13.348184,10.648501,11.044325,11.033762,11.048148,11.005628,9.590723,13.593320,8.175818,9.590723,8.565944,9.845285,7.541166,9.044174,8.173530,8.364482,7.302885,8.637874,12.088830,12.951569
2151,9.742819,13.631044,10.881741,11.331067,11.321406,11.341512,11.295368,9.853247,14.605273,8.411127,9.853247,8.790195,10.766208,7.727143,9.286286,8.376295,9.216062,7.466304,8.861624,12.386406,13.267601
2152,9.946336,13.897875,11.088395,11.580218,11.567857,11.590377,11.537241,10.060134,15.167872,8.583028,10.060134,8.964180,11.253956,7.868226,9.475625,8.533952,9.669705,7.592278,9.036178,12.676811,13.586969
2153,10.131790,14.212596,11.377215,11.814400,11.806458,11.825294,11.753867,10.221018,15.480387,8.688169,10.221018,9.087980,11.442658,7.954942,9.616731,8.643534,9.828409,7.670337,9.162572,13.039442,14.008659
2154,9.554139,13.570003,10.862216,11.074402,11.064280,11.090321,10.960214,9.536109,9.245934,8.112004,9.536109,8.540274,6.465412,7.544439,9.004997,8.163776,5.461587,7.322555,8.612427,12.379273,13.320985
2155,9.287334,13.288979,10.693278,10.732344,10.723642,10.745325,10.605995,9.220644,7.999132,7.835294,9.220644,8.281529,5.422531,7.342414,8.719783,7.935165,4.530450,7.150547,8.353628,12.088453,13.022159
2156,8.838969,12.691857,10.124910,10.136124,10.122455,10.145182,9.961850,8.718086,4.983086,7.474322,8.718086,7.907118,3.249105,7.096151,8.285570,7.614504,2.688595,6.943439,7.972406,11.438660,12.305223
2157,8.662063,12.547012,9.989383,9.989383,9.980580,9.995294,9.827321,8.500837,4.730337,7.174354,8.500837,7.711379,2.815266,6.921920,8.079793,7.441173,2.277365,6.802553,7.781770,11.302941,12.183233
2158,8.419714,12.199487,9.601315,9.624759,9.616985,9.607432,9.430533,8.232439,3.527547,7.034346,8.232439,7.521882,2.092094,6.811325,7.853476,7.280596,1.686731,6.707716,7.586132,10.920460,11.754043
2159,8.240706,11.930769,9.307270,9.278961,9.270399,9.217030,9.109810,8.030956,2.912410,6.952101,8.030956,7.385400,1.742703,6.739844,7.686659,7.166007,1.405521,6.645354,7.443688,10.631761,11.428780
2160,8.063132,11.618633,8.897058,8.836530,8.827746,8.706701,8.672664,7.831732,2.166236,6.990801,7.831732,7.272130,1.441534,6.712527,7.533278,7.074026,1.183029,6.614775,7.318960,10.295647,11.039818
2161,7.930389,11.409331,8.607275,8.279470,8.271195,8.106341,8.088640,7.619913,1.302987,7.151186,7.619913,7.179314,1.224794,6.738715,7.384927,7.003954,1.059045,6.622981,7.207140,10.100138,10.823388
2162,7.769748,11.086136,8.304061,7.813270,7.805360,7.591975,7.584730,7.411223,0.492150,7.237717,7.411223,7.084964,0.925433,6.758704,7.237218,6.933770,0.860729,6.630322,7.095609,9.792167,10.466306
2163,7.598648,10.710643,7.955293,7.330353,7.322844,7.077061,7.070347,7.193918,-0.377121,7.317490,7.193918,6.991489,0.617782,6.789060,7.085956,6.866932,0.668426,6.647908,6.983745,9.443357,10.058260
2164,7.462295,10.399876,7.740196,7.083510,7.076594,6.801301,6.786160,7.030363,-0.787378,7.274566,7.030363,6.909134,0.390877,6.787904,6.965707,6.806713,0.512644,6.647718,6.891510,9.174649,9.745434
2165,7.279242,9.931347,7.445702,6.712328,6.703758,6.432173,6.357312,6.823300,-1.653783,7.289287,6.823300,6.813866,0.033478,6.804433,6.818269,6.739422,0.279824,6.660576,6.781474,8.772547,9.270316
2166,7.336607,10.179783,7.663861,7.271506,7.263250,6.984579,6.719711,6.863299,-0.488264,7.006888,6.863299,6.788821,0.253259,6.714343,6.823578,6.712716,0.376978,6.601855,6.771842,9.030901,9.595666
2167,7.601743,11.010568,8.267653,8.074266,8.063833,7.833026,7.571074,7.106012,1.708259,6.640950,7.106012,6.845598,0.956548,6.585184,6.967125,6.742556,0.824884,6.517987,6.862326,9.819995,10.559412
2168,7.670970,11.083365,8.482000,8.463287,8.450879,8.251791,8.016423,7.294747,2.840204,6.573072,7.294747,6.912873,1.502893,6.530998,7.091081,6.784506,1.206547,6.477931,6.948012,9.839844,10.562802
2169,7.853468,11.396578,8.787255,8.878972,8.865196,8.718488,8.544447,7.569642,4.559348,6.594838,7.569642,7.044886,2.454384,6.520130,7.289773,6.879110,1.920748,6.468447,7.098130,10.119483,10.874822
2170,7.950715,11.489776,8.937022,9.035864,9.023898,8.909842,8.762832,7.737525,5.149346,6.712219,7.737525,7.147312,2.964199,6.557098,7.422745,6.957219,2.337989,6.491692,7.205499,10.186364,10.931580
2171,8.084112,11.683682,9.107107,9.276285,9.262871,9.185017,9.070729,7.920140,5.997085,6.769552,7.920140,7.252093,3.481988,6.584046,7.563848,7.037259,2.744683,6.510670,7.318107,10.382127,11.148131
2172,8.219026,11.872961,9.242005,9.509262,9.497693,9.448502,9.352896,8.101458,6.803554,6.850021,8.101458,7.362387,4.018031,6.623315,7.707287,7.123286,3.174977,6.539284,7.434753,10.571844,11.356117
2173,8.335160,12.033811,9.372440,9.684275,9.673603,9.644390,9.561795,8.250793,7.343885,6.939792,8.250793,7.460322,4.428013,6.669851,7.829209,7.201535,3.516065,6.573861,7.536294,10.731757,11.530623
2174,8.431059,12.165385,9.517206,9.801312,9.792623,9.779931,9.708975,8.366127,7.670826,7.023279,8.366127,7.541070,4.713020,6.716013,7.926096,7.267475,3.762279,6.608854,7.618740,10.868017,11.680337
2175,8.313794,11.944154,9.309392,9.616558,9.607667,9.606351,9.513417,8.252831,6.274653,6.992245,8.252831,7.474999,3.871712,6.697167,7.837987,7.215513,3.098410,6.593038,7.547499,10.612679,11.378974
2176,8.353785,12.015625,9.372363,9.675216,9.666192,9.675830,9.571844,8.291245,6.645466,7.010646,8.291245,7.499943,4.106339,6.708641,7.869217,7.235582,3.288149,6.601947,7.573521,10.694577,11.474841
2177,8.384955,12.148281,9.492696,9.707492,9.701761,9.721146,9.576506,8.277437,6.401378,6.978368,8.277437,7.484832,3.905694,6.692226,7.854714,7.221979,3.117905,6.589245,7.559438,10.861506,11.687023
2178,8.371064,12.303023,9.534441,9.627463,9.620723,9.640055,9.441510,8.157247,5.416003,6.872983,8.157247,7.396500,3.208226,6.635753,7.751515,7.148425,2.543354,6.545335,7.470073,11.074037,11.975028
